series_id,year,periodName,value,date
CUUR0000SAF11,2025,September,316.042,2025-09-01
CUUR0000SAF11,2025,August,314.608,2025-08-01
CUUR0000SAF11,2025,July,313.263,2025-07-01
CUUR0000SAF11,2025,June,313.028,2025-06-01
CUUR0000SAF11,2025,May,312.491,2025-05-01
CUUR0000SAF11,2025,April,311.84,2025-04-01
CUUR0000SAF11,2025,March,312.815,2025-03-01
CUUR0000SAF11,2025,February,311.284,2025-02-01
CUUR0000SAF11,2025,January,310.936,2025-01-01
CUUR0000SAF11,2024,December,308.38,2024-12-01
CUUR0000SAF11,2024,November,307.972,2024-11-01
CUUR0000SAF11,2024,October,308.2,2024-10-01
CUUR0000SAF11,2024,September,307.767,2024-09-01
CUUR0000SAF11,2024,August,306.402,2024-08-01
CUUR0000SAF11,2024,July,306.643,2024-07-01
CUUR0000SAF11,2024,June,305.752,2024-06-01
CUUR0000SAF11,2024,May,305.679,2024-05-01
CUUR0000SAF11,2024,April,305.707,2024-04-01
CUUR0000SAF11,2024,March,305.426,2024-03-01
CUUR0000SAF11,2024,February,305.469,2024-02-01
CUUR0000SAF11,2024,January,305.037,2024-01-01
CUUR0000SAF11,2023,December,303.005,2023-12-01
CUUR0000SAF11,2023,November,303.224,2023-11-01
CUUR0000SAF11,2023,October,304.788,2023-10-01
CUUR0000SAF11,2023,September,303.925,2023-09-01
CUUR0000SAF11,2023,August,303.716,2023-08-01
CUUR0000SAF11,2023,July,303.455,2023-07-01
CUUR0000SAF11,2023,June,302.335,2023-06-01
CUUR0000SAF11,2023,May,302.535,2023-05-01
CUUR0000SAF11,2023,April,302.328,2023-04-01
CUUR0000SAF11,2023,March,301.918,2023-03-01
CUUR0000SAF11,2023,February,302.483,2023-02-01
CUUR0000SAF11,2023,January,301.435,2023-01-01
CUUR0000SAF11,2022,December,299.089,2022-12-01
CUUR0000SAF11,2022,November,298.284,2022-11-01
CUUR0000SAF11,2022,October,298.401,2022-10-01
CUUR0000SAF11,2022,September,296.771,2022-09-01
CUUR0000SAF11,2022,August,295.007,2022-08-01
CUUR0000SAF11,2022,July,292.972,2022-07-01
CUUR0000SAF11,2022,June,288.884,2022-06-01
CUUR0000SAF11,2022,May,285.953,2022-05-01
CUUR0000SAF11,2022,April,282.161,2022-04-01
CUUR0000SAF11,2022,March,278.612,2022-03-01
CUUR0000SAF11,2022,February,274.568,2022-02-01
CUUR0000SAF11,2022,January,270.711,2022-01-01
CUUR0000SAF11,2021,December,267.555,2021-12-01
CUUR0000SAF11,2021,November,266.384,2021-11-01
CUUR0000SAF11,2021,October,265.478,2021-10-01
CUUR0000SAF11,2021,September,262.695,2021-09-01
CUUR0000SAF11,2021,August,259.825,2021-08-01
CUUR0000SAF11,2021,July,259.022,2021-07-01
CUUR0000SAF11,2021,June,257.412,2021-06-01
CUUR0000SAF11,2021,May,255.516,2021-05-01
CUUR0000SAF11,2021,April,254.76,2021-04-01
CUUR0000SAF11,2021,March,253.231,2021-03-01
CUUR0000SAF11,2021,February,252.716,2021-02-01
CUUR0000SAF11,2021,January,252.107,2021-01-01
CUUR0000SAF11,2020,December,251.253,2020-12-01
CUUR0000SAF11,2020,November,250.407,2020-11-01
CUUR0000SAF11,2020,October,251.937,2020-10-01
CUUR0000SAF11,2020,September,251.369,2020-09-01
CUUR0000SAF11,2020,August,252.352,2020-08-01
CUUR0000SAF11,2020,July,252.563,2020-07-01
CUUR0000SAF11,2020,June,255.042,2020-06-01
CUUR0000SAF11,2020,May,253.827,2020-05-01
CUUR0000SAF11,2020,April,251.717,2020-04-01
CUUR0000SAF11,2020,March,245.163,2020-03-01
CUUR0000SAF11,2020,February,244.054,2020-02-01
CUUR0000SAF11,2020,January,243.11,2020-01-01
CUUR0000SAF11,2019,December,241.75,2019-12-01
CUUR0000SAF11,2019,November,241.726,2019-11-01
CUUR0000SAF11,2019,October,242.34,2019-10-01
CUUR0000SAF11,2019,September,241.543,2019-09-01
CUUR0000SAF11,2019,August,241.153,2019-08-01
CUUR0000SAF11,2019,July,241.359,2019-07-01
CUUR0000SAF11,2019,June,241.407,2019-06-01
CUUR0000SAF11,2019,May,242.145,2019-05-01
CUUR0000SAF11,2019,April,241.878,2019-04-01
CUUR0000SAF11,2019,March,242.555,2019-03-01
CUUR0000SAF11,2019,February,242.057,2019-02-01
CUUR0000SAF11,2019,January,241.381,2019-01-01
CUUR0000SAF11,2018,December,239.989,2018-12-01
CUUR0000SAF11,2018,November,239.352,2018-11-01
CUUR0000SAF11,2018,October,239.882,2018-10-01
CUUR0000SAF11,2018,September,240.125,2018-09-01
CUUR0000SAF11,2018,August,240.015,2018-08-01
CUUR0000SAF11,2018,July,239.82,2018-07-01
CUUR0000SAF11,2018,June,239.158,2018-06-01
CUUR0000SAF11,2018,May,239.287,2018-05-01
CUUR0000SAF11,2018,April,240.129,2018-04-01
CUUR0000SAF11,2018,March,239.158,2018-03-01
CUUR0000SAF11,2018,February,239.19,2018-02-01
CUUR0000SAF11,2018,January,239.828,2018-01-01
CUUR0000SAF11,2017,December,238.579,2017-12-01
CUUR0000SAF11,2017,November,238.403,2017-11-01
CUUR0000SAF11,2017,October,239.543,2017-10-01
CUUR0000SAF11,2017,September,239.128,2017-09-01
CUUR0000SAF11,2017,August,238.843,2017-08-01
CUUR0000SAF11,2017,July,238.953,2017-07-01
CUUR0000SAF11,2017,June,238.3,2017-06-01
CUUR0000SAF11,2017,May,238.964,2017-05-01
CUUR0000SAF11,2017,April,238.817,2017-04-01
CUUR0000SAF11,2017,March,238.256,2017-03-01
CUUR0000SAF11,2017,February,237.918,2017-02-01
CUUR0000SAF11,2017,January,237.365,2017-01-01
CUUR0000SAF11,2016,December,236.464,2016-12-01
CUUR0000SAF11,2016,November,236.93,2016-11-01
CUUR0000SAF11,2016,October,238.145,2016-10-01
CUUR0000SAF11,2016,September,238.12,2016-09-01
CUUR0000SAF11,2016,August,238.088,2016-08-01
CUUR0000SAF11,2016,July,238.207,2016-07-01
CUUR0000SAF11,2016,June,238.43,2016-06-01
CUUR0000SAF11,2016,May,239.354,2016-05-01
CUUR0000SAF11,2016,April,240.635,2016-04-01
CUUR0000SAF11,2016,March,240.329,2016-03-01
CUUR0000SAF11,2016,February,242.062,2016-02-01
CUUR0000SAF11,2016,January,242.017,2016-01-01
CUUR0000SAF111,2025,September,361.894,2025-09-01
CUUR0000SAF111,2025,August,359.74,2025-08-01
CUUR0000SAF111,2025,July,360.048,2025-07-01
CUUR0000SAF111,2025,June,360.04,2025-06-01
CUUR0000SAF111,2025,May,360.325,2025-05-01
CUUR0000SAF111,2025,April,355.976,2025-04-01
CUUR0000SAF111,2025,March,358.45,2025-03-01
CUUR0000SAF111,2025,February,357.627,2025-02-01
CUUR0000SAF111,2025,January,355.964,2025-01-01
CUUR0000SAF111,2024,December,356.574,2024-12-01
CUUR0000SAF111,2024,November,354.371,2024-11-01
CUUR0000SAF111,2024,October,359.007,2024-10-01
CUUR0000SAF111,2024,September,356.088,2024-09-01
CUUR0000SAF111,2024,August,355.652,2024-08-01
CUUR0000SAF111,2024,July,356.525,2024-07-01
CUUR0000SAF111,2024,June,356.938,2024-06-01
CUUR0000SAF111,2024,May,356.758,2024-05-01
CUUR0000SAF111,2024,April,355.852,2024-04-01
CUUR0000SAF111,2024,March,354.666,2024-03-01
CUUR0000SAF111,2024,February,356.633,2024-02-01
CUUR0000SAF111,2024,January,354.532,2024-01-01
CUUR0000SAF111,2023,December,353.844,2023-12-01
CUUR0000SAF111,2023,November,356.169,2023-11-01
CUUR0000SAF111,2023,October,355.752,2023-10-01
CUUR0000SAF111,2023,September,355.576,2023-09-01
CUUR0000SAF111,2023,August,356.563,2023-08-01
CUUR0000SAF111,2023,July,356.377,2023-07-01
CUUR0000SAF111,2023,June,355.074,2023-06-01
CUUR0000SAF111,2023,May,354.195,2023-05-01
CUUR0000SAF111,2023,April,353.742,2023-04-01
CUUR0000SAF111,2023,March,353.866,2023-03-01
CUUR0000SAF111,2023,February,350.772,2023-02-01
CUUR0000SAF111,2023,January,349.294,2023-01-01
CUUR0000SAF111,2022,December,345.029,2022-12-01
CUUR0000SAF111,2022,November,344.393,2022-11-01
CUUR0000SAF111,2022,October,341.492,2022-10-01
CUUR0000SAF111,2022,September,339.336,2022-09-01
CUUR0000SAF111,2022,August,336.399,2022-08-01
CUUR0000SAF111,2022,July,332.968,2022-07-01
CUUR0000SAF111,2022,June,326.378,2022-06-01
CUUR0000SAF111,2022,May,319.93,2022-05-01
CUUR0000SAF111,2022,April,314.787,2022-04-01
CUUR0000SAF111,2022,March,311.606,2022-03-01
CUUR0000SAF111,2022,February,306.193,2022-02-01
CUUR0000SAF111,2022,January,302.242,2022-01-01
CUUR0000SAF111,2021,December,297.279,2021-12-01
CUUR0000SAF111,2021,November,295.909,2021-11-01
CUUR0000SAF111,2021,October,294.625,2021-10-01
CUUR0000SAF111,2021,September,292.069,2021-09-01
CUUR0000SAF111,2021,August,288.99,2021-08-01
CUUR0000SAF111,2021,July,289.533,2021-07-01
CUUR0000SAF111,2021,June,286.761,2021-06-01
CUUR0000SAF111,2021,May,286.649,2021-05-01
CUUR0000SAF111,2021,April,285.377,2021-04-01
CUUR0000SAF111,2021,March,284.746,2021-03-01
CUUR0000SAF111,2021,February,284.095,2021-02-01
CUUR0000SAF111,2021,January,282.911,2021-01-01
CUUR0000SAF111,2020,December,283.735,2020-12-01
CUUR0000SAF111,2020,November,282.782,2020-11-01
CUUR0000SAF111,2020,October,284.74,2020-10-01
CUUR0000SAF111,2020,September,284.416,2020-09-01
CUUR0000SAF111,2020,August,284.472,2020-08-01
CUUR0000SAF111,2020,July,285.204,2020-07-01
CUUR0000SAF111,2020,June,286.092,2020-06-01
CUUR0000SAF111,2020,May,284.937,2020-05-01
CUUR0000SAF111,2020,April,285.16,2020-04-01
CUUR0000SAF111,2020,March,277.646,2020-03-01
CUUR0000SAF111,2020,February,276.641,2020-02-01
CUUR0000SAF111,2020,January,275.916,2020-01-01
CUUR0000SAF111,2019,December,275.036,2019-12-01
CUUR0000SAF111,2019,November,276.166,2019-11-01
CUUR0000SAF111,2019,October,276.47,2019-10-01
CUUR0000SAF111,2019,September,277.308,2019-09-01
CUUR0000SAF111,2019,August,276.619,2019-08-01
CUUR0000SAF111,2019,July,277.49,2019-07-01
CUUR0000SAF111,2019,June,276.891,2019-06-01
CUUR0000SAF111,2019,May,277.795,2019-05-01
CUUR0000SAF111,2019,April,276.64,2019-04-01
CUUR0000SAF111,2019,March,277.275,2019-03-01
CUUR0000SAF111,2019,February,275.996,2019-02-01
CUUR0000SAF111,2019,January,275.05,2019-01-01
CUUR0000SAF111,2018,December,274.321,2018-12-01
CUUR0000SAF111,2018,November,273.24,2018-11-01
CUUR0000SAF111,2018,October,272.26,2018-10-01
CUUR0000SAF111,2018,September,273.729,2018-09-01
CUUR0000SAF111,2018,August,273.338,2018-08-01
CUUR0000SAF111,2018,July,273.258,2018-07-01
CUUR0000SAF111,2018,June,273.682,2018-06-01
CUUR0000SAF111,2018,May,271.91,2018-05-01
CUUR0000SAF111,2018,April,271.766,2018-04-01
CUUR0000SAF111,2018,March,272.345,2018-03-01
CUUR0000SAF111,2018,February,271.245,2018-02-01
CUUR0000SAF111,2018,January,272.273,2018-01-01
CUUR0000SAF111,2017,December,269.847,2017-12-01
CUUR0000SAF111,2017,November,269.646,2017-11-01
CUUR0000SAF111,2017,October,270.858,2017-10-01
CUUR0000SAF111,2017,September,271.75,2017-09-01
CUUR0000SAF111,2017,August,272.544,2017-08-01
CUUR0000SAF111,2017,July,271.95,2017-07-01
CUUR0000SAF111,2017,June,272.429,2017-06-01
CUUR0000SAF111,2017,May,272.445,2017-05-01
CUUR0000SAF111,2017,April,271.865,2017-04-01
CUUR0000SAF111,2017,March,272.174,2017-03-01
CUUR0000SAF111,2017,February,271.708,2017-02-01
CUUR0000SAF111,2017,January,272.922,2017-01-01
