series_id,year,periodName,value,date,category,price_usd,zcpi_value,zcpi_norm
CUUR0000SAF116,2024,November,292.831,2024-11,Other food at home,44.21731707960546,15.099944022185307,
CUUR0000SAF112,2024,November,331.976,2024-11,"Meats, poultry, fish, eggs",44.21731707960546,13.31943185037637,
CUUR0000SAF113,2024,November,354.696,2024-11,Dairy,44.21731707960546,12.466257606402511,
CUUR0000SAF115,2024,November,272.027,2024-11,Nonalcoholic beverages,44.21731707960546,16.254753050103652,
CUUR0000SAF111,2024,November,354.371,2024-11,Cereals and bakery,44.21731707960546,12.477690634844684,
CUUR0000SAF114,2024,November,221.735,2024-11,Fruits and vegetables,44.21731707960546,19.94151445626782,
CUUR0000SAF11,2024,November,307.972,2024-11,Food at home,44.21731707960546,14.357577013366624,
CUUR0000SAF113,2024,December,353.63,2024-12,Dairy,62.59976096987006,17.702050439688392,
CUUR0000SAF112,2024,December,333.659,2024-12,"Meats, poultry, fish, eggs",62.59976096987006,18.76159820951033,
CUUR0000SAF114,2024,December,220.762,2024-12,Fruits and vegetables,62.59976096987006,28.356221165721486,
CUUR0000SAF111,2024,December,356.574,2024-12,Cereals and bakery,62.59976096987006,17.55589610287628,
CUUR0000SAF116,2024,December,291.832,2024-12,Other food at home,62.59976096987006,21.45061575491038,
CUUR0000SAF11,2024,December,308.38,2024-12,Food at home,62.59976096987006,20.29955281466699,
CUUR0000SAF115,2024,December,272.362,2024-12,Nonalcoholic beverages,62.59976096987006,22.98402896507958,
CUUR0000SAF115,2025,January,273.796,2025-01,Nonalcoholic beverages,50.77327191021366,18.544197837153817,
CUUR0000SAF113,2025,January,355.837,2025-01,Dairy,50.77327191021366,14.268688166270977,
CUUR0000SAF116,2025,January,292.771,2025-01,Other food at home,50.77327191021366,17.3423159774068,
CUUR0000SAF112,2025,January,339.169,2025-01,"Meats, poultry, fish, eggs",50.77327191021366,14.969903472962937,
CUUR0000SAF111,2025,January,355.964,2025-01,Cereals and bakery,50.77327191021366,14.263597417214566,
CUUR0000SAF11,2025,January,310.936,2025-01,Food at home,50.77327191021366,16.329171247528002,
CUUR0000SAF114,2025,January,225.51,2025-01,Fruits and vegetables,50.77327191021366,22.51486493291369,
CUUR0000SAF113,2025,February,353.197,2025-02,Dairy,34.279660654972275,9.705535623171283,
CUUR0000SAF116,2025,February,294.211,2025-02,Other food at home,34.279660654972275,11.651386472624162,
CUUR0000SAF112,2025,February,344.781,2025-02,"Meats, poultry, fish, eggs",34.279660654972275,9.942444814236364,
CUUR0000SAF114,2025,February,225.51,2025-02,Fruits and vegetables,34.279660654972275,15.200949250575261,
CUUR0000SAF11,2025,February,311.284,2025-02,Food at home,34.279660654972275,11.01234263726124,
CUUR0000SAF115,2025,February,273.067,2025-02,Nonalcoholic beverages,34.279660654972275,12.553571341455495,
CUUR0000SAF111,2025,February,357.627,2025-02,Cereals and bakery,34.279660654972275,9.585311135616795,
CUUR0000SAF114,2025,March,226.835,2025-03,Fruits and vegetables,34.13595938660128,15.048806130712315,
CUUR0000SAF112,2025,March,348.179,2025-03,"Meats, poultry, fish, eggs",34.13595938660128,9.804140797291417,
CUUR0000SAF113,2025,March,350.379,2025-03,Dairy,34.13595938660128,9.74258142942393,
CUUR0000SAF116,2025,March,294.847,2025-03,Other food at home,34.13595938660128,11.577516266606505,
CUUR0000SAF111,2025,March,358.45,2025-03,Cereals and bakery,34.13595938660128,9.523213666229957,
CUUR0000SAF115,2025,March,275.216,2025-03,Nonalcoholic beverages,34.13595938660128,12.403333885603047,
CUUR0000SAF11,2025,March,312.815,2025-03,Food at home,34.13595938660128,10.91250719645838,
CUUR0000SAF114,2025,April,227.738,2025-04,Fruits and vegetables,34.72200390852312,15.246469148110162,
CUUR0000SAF116,2025,April,294.88,2025-04,Other food at home,34.72200390852312,11.77496063094246,
CUUR0000SAF115,2025,April,275.27,2025-04,Nonalcoholic beverages,34.72200390852312,12.613798782476522,
CUUR0000SAF113,2025,April,349.187,2025-04,Dairy,34.72200390852312,9.94367027080708,
CUUR0000SAF112,2025,April,344.883,2025-04,"Meats, poultry, fish, eggs",34.72200390852312,10.067763243918408,
CUUR0000SAF111,2025,April,355.976,2025-04,Cereals and bakery,34.72200390852312,9.754029459436344,
CUUR0000SAF11,2025,April,311.84,2025-04,Food at home,34.72200390852312,11.1345574360323,
CUUR0000SAF114,2025,May,226.252,2025-05,Fruits and vegetables,43.57611119407133,19.25998938973858,
CUUR0000SAF115,2025,May,276.606,2025-05,Nonalcoholic beverages,43.57611119407133,15.75385609642283,
CUUR0000SAF111,2025,May,360.325,2025-05,Cereals and bakery,43.57611119407133,12.093557536688081,
CUUR0000SAF11,2025,May,312.491,2025-05,Food at home,43.57611119407133,13.94475719110993,
CUUR0000SAF116,2025,May,294.478,2025-05,Other food at home,43.57611119407133,14.797747605617849,
CUUR0000SAF113,2025,May,351.335,2025-05,Dairy,43.57611119407133,12.40300886449438,
CUUR0000SAF112,2025,May,343.032,2025-05,"Meats, poultry, fish, eggs",43.57611119407133,12.703220455838327,
CUUR0000SAF111,2025,June,360.04,2025-06,Cereals and bakery,45.32152673103495,12.587914323695964,
CUUR0000SAF113,2025,June,351.414,2025-06,Dairy,45.32152673103495,12.896904144693995,
CUUR0000SAF114,2025,June,229.103,2025-06,Fruits and vegetables,45.32152673103495,19.78216205420049,
CUUR0000SAF116,2025,June,294.883,2025-06,Other food at home,45.32152673103495,15.36932503095633,
CUUR0000SAF11,2025,June,313.028,2025-06,Food at home,45.32152673103495,14.478425805689888,
CUUR0000SAF112,2025,June,342.058,2025-06,"Meats, poultry, fish, eggs",45.32152673103495,13.249661382290418,
CUUR0000SAF115,2025,June,277.737,2025-06,Nonalcoholic beverages,45.32152673103495,16.318145126877205,
CUUR0000SAF111,2025,July,360.048,2025-07,Cereals and bakery,41.6092559750332,11.556585781627227,
CUUR0000SAF116,2025,July,295.176,2025-07,Other food at home,41.6092559750332,14.096422464913545,
CUUR0000SAF11,2025,July,313.263,2025-07,Food at home,41.6092559750332,13.282531283628517,
CUUR0000SAF115,2025,July,277.002,2025-07,Nonalcoholic beverages,41.6092559750332,15.021283591827206,
CUUR0000SAF114,2025,July,228.011,2025-07,Fruits and vegetables,41.6092559750332,18.248793249024477,
CUUR0000SAF113,2025,July,351.764,2025-07,Dairy,41.6092559750332,11.82874199037798,
CUUR0000SAF112,2025,July,344.155,2025-07,"Meats, poultry, fish, eggs",41.6092559750332,12.090266297172263,
CUUR0000SAF11,2025,August,314.608,2025-08,Food at home,38.78655964761816,12.328535716707192,
CUUR0000SAF112,2025,August,347.509,2025-08,"Meats, poultry, fish, eggs",38.78655964761816,11.161310828674411,
CUUR0000SAF111,2025,August,359.74,2025-08,Cereals and bakery,38.78655964761816,10.781831224667306,
